manchete,subtitulo,texto,data_publicacao,autor,classificacao_etaria,categoria
Animi quo cumque assumenda eos hic accusamus.,Ipsum sapiente nobis aspernatur eum rerum occaecati placeat maiores quidem ex illo aliquam.,Praesentium aperiam quod vel fugiat veniam. A odio mollitia odio deleniti voluptate voluptatibus. Officia soluta omnis. Facilis maiores voluptate aliquam. Dicta molestias cumque voluptates aut blanditiis.,2024-01-23,Valentim Pimenta,10,Entretenimento
Unde consequuntur molestiae.,Numquam commodi nemo vero dolorum neque dignissimos fugiat architecto sequi.,Quisquam neque error porro natus iusto perferendis. Assumenda maxime labore velit neque. Quod impedit aspernatur doloribus laborum id provident totam. Aliquid laborum libero expedita vel illum accusamus. Quisquam qui voluptate tempore molestiae.,2024-10-20,Ayla Alves,14,Tecnologia
Fuga excepturi unde architecto.,Praesentium porro porro labore tenetur commodi quidem.,Necessitatibus et assumenda. Eum fugiat provident nemo iste reiciendis. Suscipit culpa harum. Dolor culpa officia. Aspernatur vitae iusto minima nihil laudantium. Asperiores consectetur distinctio numquam neque.,2024-08-19,Camila da Rosa,0,Política
Occaecati dolorum aut iure.,Ratione voluptate possimus neque optio fugit dolore.,Dignissimos nihil suscipit est ratione tempora. Minima atque numquam suscipit. Laboriosam impedit modi odit.,2024-01-08,Otávio Cardoso,18,Economia
Magnam praesentium veniam autem eum provident.,Vero quos qui tenetur necessitatibus beatae amet.,Officiis amet quidem nihil asperiores. Molestias maxime in accusantium ducimus iure atque. Officiis quaerat cumque numquam laborum repellat repellat. Velit laudantium optio excepturi.,2024-06-24,Gael Pastor,14,Entretenimento
Repudiandae veniam nostrum ratione.,Optio iure dolores illo cupiditate maxime corporis nulla earum assumenda aliquam nam unde.,Provident esse ea repellendus officiis. Sit dicta laboriosam. Eveniet fugit ipsum. Ea ullam facilis aliquam. Unde omnis excepturi a.,2024-07-16,Maria Sophia Pires,12,Ciência
Beatae consequatur possimus laborum voluptate a sapiente.,Inventore possimus doloremque impedit non id est voluptatem veniam repudiandae recusandae sunt.,Accusantium itaque recusandae similique harum iure. Ipsum unde exercitationem doloribus. Quae recusandae reprehenderit amet accusamus quibusdam natus.,2024-07-16,José Miguel Barros,14,Política
Labore aut recusandae ab.,Tempore quam voluptatibus quidem quos occaecati repudiandae reprehenderit provident nobis.,Repudiandae dolorum est velit qui. Asperiores corrupti minima. Iure ad saepe nobis illo unde magni. Ut nam quidem accusantium doloribus iure. Voluptatibus consectetur illum ut reprehenderit ab eaque itaque.,2024-09-25,Dra. Ana Sophia Rios,12,Entretenimento
Facere ea dicta voluptates dolorem illo praesentium.,Provident assumenda aspernatur tempora est debitis facere excepturi eaque assumenda sint.,Quisquam vitae omnis ipsa esse perferendis. Excepturi error repudiandae quidem. Qui sed accusamus tempore necessitatibus.,2024-02-17,Sophie Cavalcanti,10,Esportes
Vitae autem inventore optio ad debitis.,Necessitatibus cumque dicta impedit labore alias rerum quo sequi.,Expedita quisquam iure dignissimos. Omnis fugit similique corporis aliquam consequatur similique alias. Sunt omnis saepe. Voluptate quisquam iste in vel a blanditiis. Cum veritatis nihil maiores ipsum nesciunt.,2024-02-22,Sra. Sophie Jesus,0,Economia
Nostrum recusandae culpa.,Ex provident eveniet id repellat quisquam modi maxime blanditiis.,Explicabo voluptate id atque. Itaque maxime neque explicabo. Excepturi facilis sed vel dolores doloremque corporis. Reiciendis sed ea molestias totam doloribus qui. Accusantium reprehenderit quaerat quidem deserunt aspernatur. Aspernatur maxime repellat dolor. Culpa et beatae ea rerum at.,2024-01-22,Clara da Mata,16,Esportes
Illo nisi dolorem quo perferendis.,Nihil ipsa sit placeat reprehenderit pariatur.,Voluptatem dolor ipsa sunt quidem nesciunt voluptatum ex. Quisquam earum ad beatae placeat unde adipisci. Corrupti esse eligendi provident. Officiis eligendi omnis repellendus pariatur. Deleniti earum eum necessitatibus fuga.,2024-10-11,Ester da Rosa,18,Política
Occaecati cum esse nobis consectetur error nesciunt maxime.,Facere temporibus praesentium similique ratione est facilis tempore expedita qui.,Id ab assumenda fugit optio possimus blanditiis. Perspiciatis culpa dolorem aperiam sapiente nisi. Facilis illo enim. Aspernatur natus pariatur totam. Doloremque iste maxime nesciunt animi minus nisi molestiae.,2024-07-26,Eloah Silva,12,Esportes
Numquam maxime assumenda at nobis rerum.,Ad quibusdam non sit inventore deserunt voluptatem expedita numquam.,Dolorum magni est accusamus in quas. Fugit vitae et nihil. Saepe recusandae at ullam facere.,2024-11-21,Bianca Moura,12,Esportes
Quasi cum occaecati fuga corrupti magnam nihil.,Iste sunt doloribus provident neque aliquid.,Dolorem officia alias esse facere. Nostrum blanditiis maxime officia. Officiis quisquam provident cum quo quis nisi. Maxime aliquam magnam.,2024-04-15,Bruna Nascimento,16,Esportes
Illo tempore alias excepturi quod.,Laudantium labore facere nemo molestias ad.,Id odit inventore ea atque et. Corrupti earum earum saepe tempore ducimus. Et asperiores vel vel recusandae reprehenderit. Voluptatum quis recusandae ea maxime dolor debitis. Quibusdam at corrupti quo quia pariatur quisquam exercitationem. Quis itaque facere cum blanditiis.,2024-08-03,Allana Barros,14,Entretenimento
Enim quam nostrum nihil ut.,Praesentium architecto voluptas deleniti natus ab neque quisquam architecto occaecati eaque laborum.,Vero soluta illo tempora. Nulla maxime eaque minima quisquam totam dolorem. Unde fugit ipsum illum a. Pariatur ipsum ipsa maxime repellendus unde. Similique velit voluptatum necessitatibus consequuntur quod eaque fugiat.,2024-05-07,Thales Jesus,12,Economia
Et laboriosam tenetur quo ipsum velit nostrum sit.,Quos hic reiciendis libero officia impedit earum sint doloremque facilis odio ea.,Nisi veniam autem. Doloremque iste animi repellendus aperiam. Voluptatibus inventore alias laboriosam expedita quasi tempora rerum. Quam illo molestias velit veritatis. Eius culpa nesciunt possimus pariatur maiores. Aut magni vitae perspiciatis.,2024-11-18,Davi Nascimento,14,Entretenimento
Eum iusto laborum maiores.,Explicabo tempora laudantium pariatur temporibus ad officia.,Sint nemo ad esse iste iste. Fugiat cum reiciendis cupiditate minus facilis tempora beatae. Quis eos pariatur veniam esse provident reprehenderit ratione.,2024-09-09,Manuella Gomes,16,Esportes
Aperiam accusamus minima dolorum repudiandae blanditiis.,Ipsam harum nulla deserunt sint quisquam rem.,Repellat quibusdam aliquam dolor nam commodi. Voluptate voluptas possimus culpa. Animi laudantium vero error eaque fugiat nostrum ipsam.,2024-09-21,Melina Lopes,14,Política
Et magnam minus nobis officia eum dolorum aspernatur.,Aliquid fugiat sunt quos eos maxime amet necessitatibus debitis natus nam.,Eligendi aspernatur quisquam enim. Totam nisi voluptatibus atque iste nesciunt incidunt. At itaque magnam ipsam.,2024-05-17,Igor Guerra,10,Ciência
Quidem corrupti quae corrupti laboriosam.,Officiis porro praesentium tempore ipsum amet minus natus ipsa eius.,Quae est explicabo qui alias omnis. Vel officia qui aliquam alias. Corporis unde tenetur distinctio pariatur quibusdam. Totam ratione nam maiores. Quidem soluta alias occaecati dolores quis ducimus. Autem nemo doloremque pariatur.,2024-11-20,Liam Azevedo,18,Entretenimento
Dicta architecto consectetur suscipit ab illum labore aperiam.,Consequatur omnis deleniti reiciendis architecto magni odit officia temporibus laboriosam excepturi vero rerum.,Non delectus culpa quidem optio ea dolore. Repellendus maiores ex. Veniam repudiandae excepturi occaecati sapiente omnis. Itaque laudantium illo corrupti sunt assumenda. Doloribus ullam cumque corrupti impedit quis sit. Reprehenderit totam eius libero harum.,2024-03-30,Srta. Rafaela Pereira,0,Entretenimento
Doloribus aperiam alias enim recusandae qui saepe.,Incidunt dolores commodi corporis facilis repudiandae mollitia dolores quis ullam.,Hic inventore velit porro eligendi voluptatibus delectus. Voluptatum atque esse eius sint culpa accusantium. Placeat molestias quod sit. Nobis reprehenderit deleniti beatae excepturi deleniti sunt.,2024-11-15,Rebeca Sousa,12,Política
Maxime exercitationem veniam deleniti qui harum in saepe.,Quod veniam culpa doloribus similique animi libero pariatur ducimus nam unde.,Autem fuga enim numquam id maiores voluptatem distinctio. Sequi ea ratione. Aut sequi tempora iusto. Aperiam aspernatur voluptatibus facilis et quia velit. Odit optio repellendus facere consequuntur accusantium ullam.,2024-07-05,Breno Rocha,14,Economia
Est exercitationem perferendis magni nemo aliquid.,Esse nostrum a animi repellendus commodi.,Quidem sapiente ex neque voluptas iste. Voluptatem explicabo modi ullam. Ipsa molestias exercitationem quam quia. Assumenda laborum excepturi architecto unde ipsam. Voluptatem voluptatibus eaque vel repellendus voluptatibus dignissimos.,2024-02-20,Fernanda Costela,18,Tecnologia
Dolorem tempora laudantium.,Molestias eaque nisi pariatur porro cumque.,Iste odio omnis facilis adipisci libero vel. Laboriosam qui rem sint. Facilis fugiat molestiae illum dolore. Voluptatem cupiditate modi quasi rerum. Praesentium vitae maiores culpa nisi quibusdam ab. Alias fugiat libero numquam ad neque.,2024-09-01,Ravi Brito,16,Entretenimento
Optio dolore dignissimos quod dicta similique.,Eligendi nobis repellat iste omnis quos deleniti.,Sapiente natus libero distinctio repellat ex pariatur. Reiciendis impedit excepturi tempore error adipisci. Velit omnis nulla est eius ut. Culpa nulla iste unde sint quas maiores. Rem voluptate occaecati. Nesciunt omnis ducimus iure.,2024-07-02,Nina Araújo,12,Economia
Placeat iure illum.,Tempore suscipit placeat enim quaerat quod alias reiciendis dolorem mollitia aliquam quia fugiat.,Eveniet ex error atque fuga neque. Sequi nostrum nemo numquam labore odit. Qui voluptates inventore veritatis consequuntur nam magnam repellat. Delectus eos quam ipsa quod doloremque numquam.,2024-06-06,Nina Gomes,16,Economia
Occaecati sint fugiat fugiat saepe reprehenderit impedit officiis.,Adipisci ab repellendus non aspernatur velit.,Harum commodi eaque eligendi deleniti quo. Dignissimos facilis rerum rem sunt eveniet qui. Suscipit reiciendis mollitia optio. Dignissimos veritatis tempora sed recusandae perferendis quam consequuntur. Occaecati nobis porro nam eum praesentium.,2023-12-29,Pietra Aragão,0,Ciência
Dicta ex illum pariatur.,Sunt aliquam temporibus fugit voluptates quos alias quam quos eligendi.,Atque minima ad excepturi. Ullam quidem neque nostrum at. Deserunt voluptatibus ipsam suscipit accusantium fuga. Cupiditate alias porro hic quaerat dolorum. Saepe laudantium consectetur praesentium autem iusto veniam unde.,2024-10-15,Sra. Isabelly Silveira,16,Política
Illum delectus nulla nulla earum aliquam eum dolores.,Occaecati eaque incidunt dolorem ipsum dignissimos alias saepe dignissimos.,Odit totam incidunt. Sit necessitatibus nemo odio omnis. Id veniam velit vero ipsum sunt. Corrupti magnam quis ad repellendus eum. Veniam repudiandae impedit ea.,2024-03-22,Gabriela Fernandes,14,Esportes
Reiciendis velit nostrum.,Assumenda autem labore tenetur quibusdam quo rem veritatis quo ut qui rerum nisi.,Qui repellat iste est ex similique voluptatem harum. Quis ducimus non optio praesentium perspiciatis possimus. Doloremque provident debitis facilis consequatur recusandae. Ullam quidem omnis quae ea ipsa.,2024-12-11,Sarah Siqueira,14,Ciência
A in voluptatibus odit iusto atque consectetur.,Quisquam dolore harum laborum sint quia quo neque aliquid nulla provident perferendis assumenda.,Ut laudantium suscipit fuga illum sequi officiis. Quia distinctio maiores consequatur nobis dolore porro. Molestiae fugit sit voluptatibus recusandae facere.,2024-10-14,Sr. Rael Moura,12,Tecnologia
Nam fugiat debitis dicta.,Fuga veritatis modi a et vel qui officiis excepturi tenetur vel.,Nostrum porro ratione soluta natus rem. Veniam distinctio ex in. Libero corporis dolorem id ad neque magnam. Sapiente accusantium unde accusamus. Repudiandae magni maiores.,2024-03-01,Maitê Vargas,18,Tecnologia
Consequatur ut repudiandae facilis.,Voluptatum odio harum ipsum quidem voluptatem.,Optio asperiores unde. Minus laborum veniam praesentium cum ea. Qui tenetur veritatis ut perferendis. Placeat non libero libero iure. Reprehenderit tempore doloribus expedita. Harum vitae error necessitatibus earum aut incidunt laudantium.,2024-10-03,Henry Gabriel Barros,18,Entretenimento
Aliquid pariatur voluptatibus.,Minus id neque dolor harum temporibus occaecati ducimus perspiciatis.,Mollitia saepe numquam explicabo laudantium voluptates officia. Ut ipsum accusantium rerum inventore. Voluptas architecto corrupti id. Quae sapiente vitae repudiandae. Exercitationem soluta tenetur accusantium quod fugiat asperiores.,2024-10-12,Heloísa Cassiano,12,Ciência
Numquam vel numquam maxime vel earum.,Voluptates tenetur molestias veritatis rerum expedita suscipit.,Qui animi quisquam cumque qui iste. Veritatis maxime quia occaecati possimus quaerat blanditiis dolorum. Magnam distinctio ea hic modi culpa. Ut nemo ipsum illum qui ex modi ea. Odio iure necessitatibus inventore.,2024-07-11,Ana Albuquerque,16,Tecnologia
Illo consequatur neque sit perspiciatis.,Voluptate sunt cumque nobis deleniti repellat nesciunt reprehenderit sapiente totam.,Neque atque quia nulla temporibus. Error neque quaerat corrupti. Rerum quibusdam ut provident tempora.,2024-03-13,Pedro Miguel Gomes,14,Ciência
Dolores delectus itaque esse asperiores magnam tempora.,Exercitationem facilis totam eveniet ut totam distinctio quisquam.,Illum quo perspiciatis in labore id. Dolores dolorum vel eum esse fuga. Accusantium omnis veritatis ipsa sequi est. Dicta quasi id consequatur harum dolore quae cupiditate. Autem odit exercitationem repudiandae sunt nihil iste. Atque nihil non quia suscipit reiciendis eos.,2024-11-27,Ravi Lucca Cavalcanti,18,Entretenimento
Vel voluptatibus atque.,Ex odio sint animi aliquam ex quisquam facilis iusto ex dolorem.,Veritatis quas molestiae. Fuga delectus ipsa voluptatum inventore iure. Laboriosam praesentium recusandae. Error quo earum suscipit. Soluta ea maxime fugiat incidunt pariatur.,2024-05-21,Srta. Evelyn Carvalho,12,Ciência
Dolore nisi ipsum.,Laboriosam et aperiam iure excepturi voluptates aut molestiae.,Sit esse unde. Culpa error molestiae velit accusantium optio ex. Beatae excepturi voluptatibus officiis exercitationem numquam aliquam. Corporis maiores minima reiciendis.,2024-01-08,Gael da Mota,12,Tecnologia
Eius vitae consequuntur cupiditate ea vel.,Ad maiores doloremque modi odio dignissimos modi vitae quam non iure ratione.,Cupiditate quas vero labore dolor adipisci. Facilis corrupti ducimus in modi ut. Quo quae consequatur ab. Fuga expedita officia. Occaecati vel expedita aperiam natus quia pariatur. Dolorum adipisci dolores facere provident distinctio. Exercitationem aperiam nesciunt expedita voluptatibus illo.,2024-11-06,Aylla Abreu,10,Economia
Quas consequatur ipsam voluptas labore ex.,Nam tenetur nam animi sunt autem ipsam minus eveniet distinctio.,Dolorem corporis blanditiis sint debitis quod quo. Unde dolores cum adipisci magni. Aut laboriosam aspernatur molestias perferendis ad nostrum. Quam voluptas itaque aliquam deserunt cumque dicta neque. Officiis cumque in nihil eius. Reiciendis molestias dolores sapiente sunt.,2024-09-19,Leonardo Caldeira,16,Esportes
Nobis soluta doloribus placeat modi voluptas dignissimos.,Iure iure quas dignissimos eligendi et nihil laboriosam.,Ex molestias consequatur iure. Reiciendis eos eaque maxime cum iste fugit sed. A iste placeat eligendi dignissimos illum voluptatem. Magnam reiciendis quaerat amet sapiente. Blanditiis quasi expedita.,2024-09-29,Sr. Bruno Araújo,0,Economia
Eligendi nesciunt ad.,Distinctio quia eveniet rem accusantium quisquam aperiam.,Vitae earum possimus praesentium fugiat. Veritatis enim itaque omnis. Voluptatum facere veniam pariatur. Voluptatem minima reiciendis.,2024-06-11,Vinícius Câmara,10,Ciência
Rerum facere natus amet dolores placeat.,Atque reiciendis corporis iste quidem deleniti facilis nisi.,Officia tempora libero. Repellendus quisquam impedit consequuntur distinctio voluptatibus provident porro. Perspiciatis cupiditate repudiandae animi optio eveniet.,2024-09-02,Enzo Gabriel Correia,18,Economia
Dignissimos vel modi recusandae quaerat.,Doloremque ducimus facilis esse tempore sunt aut.,Fugit nesciunt ipsa minima. Dicta laboriosam architecto maxime illum. Non voluptatum quo quas ipsum.,2024-11-27,Henrique Andrade,14,Entretenimento
Doloribus rem minima quisquam sequi.,Eligendi quos perspiciatis ratione quam soluta incidunt saepe expedita dolores nisi.,Rerum sapiente quae modi tempore veniam. Dicta id est odit iusto. Pariatur nisi fugit culpa animi dolores quidem. Excepturi dolores odit iusto optio doloremque. Porro alias eveniet repudiandae accusantium soluta.,2024-04-27,João Felipe das Neves,10,Tecnologia
Asperiores nam iusto pariatur corrupti quis.,Ea deleniti illo aperiam provident nulla delectus.,Dolorem minima cum quidem error molestias. Fugiat perferendis at hic occaecati atque. Atque quibusdam aut quasi.,2024-07-03,Sra. Maria Laura Alves,0,Tecnologia
Dolorem possimus repudiandae vero harum quibusdam labore vel.,Dolorum sed error rerum deserunt harum ipsum nihil doloribus veniam alias incidunt.,Enim aperiam laudantium ipsa culpa esse consequuntur. Expedita similique veniam at sunt ipsum perferendis. Tenetur impedit consequuntur a fugit magnam voluptas.,2024-03-05,Sra. Emanuelly Azevedo,14,Economia
Suscipit dolore cumque ipsa.,Illo reiciendis molestiae quod molestiae itaque vel repudiandae amet hic quia reprehenderit tempore.,Consequatur animi minus voluptatibus eaque praesentium non magni. Sit illo incidunt voluptatibus doloribus eaque nobis. Alias dolor veniam totam. Non deserunt reiciendis accusantium blanditiis modi reiciendis. Dolorum quas laborum ipsam quam voluptas. Provident fuga eos autem dignissimos quasi itaque quasi.,2024-11-29,Gael Henrique Mendes,10,Economia
Ipsam ab vitae fugiat expedita ullam.,Quae expedita saepe repudiandae ad molestiae quidem at repellat neque dolor nostrum.,Exercitationem quibusdam fugit voluptatum impedit qui. Qui fuga quibusdam soluta asperiores consequuntur voluptas. Unde eos est doloribus placeat veniam dolorum.,2024-02-13,Thiago da Mota,12,Economia
Repudiandae ipsam corrupti numquam facilis adipisci.,Repellat nulla aliquid fugiat quaerat ea vel sapiente.,Ea occaecati nisi praesentium quae quidem. Laboriosam expedita quasi consectetur recusandae temporibus. Error sit laborum dicta rerum non. Placeat temporibus ducimus suscipit repellat voluptates sunt ab.,2024-02-11,Srta. Olívia Andrade,12,Política
Suscipit veniam recusandae harum quod corrupti.,Rem quas amet ut laboriosam nulla labore asperiores aliquid nam corporis dicta.,Iure neque est. Asperiores voluptates saepe fugit deserunt perferendis. Natus natus repudiandae nisi magnam blanditiis. Quis doloribus illum culpa. Omnis non architecto eveniet architecto ipsa temporibus. Rerum deserunt enim provident ipsam iure.,2024-01-10,Dr. Davi Lucas Freitas,18,Entretenimento
Numquam dicta illum harum officia accusamus.,Enim itaque quasi blanditiis recusandae hic eaque magnam iusto fuga mollitia.,Iure eos corrupti quaerat odit. Ipsa similique aliquam ab fuga amet totam eveniet. Nulla amet ipsa nisi. Ullam molestias nobis in aliquid. Repudiandae incidunt minima consequuntur. Saepe architecto doloremque expedita consectetur recusandae.,2024-09-23,Dr. Arthur Gabriel Lopes,12,Economia
Ducimus quisquam distinctio doloremque repellat.,Reprehenderit necessitatibus molestiae excepturi at vero minus perspiciatis similique officia odio sapiente quibusdam.,Laborum laboriosam cumque voluptatum aut quae. Quam accusantium quas distinctio. Rem quasi illo.,2024-10-11,Marcela Monteiro,16,Política
Perferendis praesentium maiores tenetur quidem ipsam.,Necessitatibus porro aliquid blanditiis voluptas iste maiores.,Eos natus corporis optio. Odio excepturi eaque delectus totam. Rerum nam eum. Vero reprehenderit libero vel. Distinctio blanditiis magnam deserunt labore repudiandae unde vitae. Sit repellat ut eum voluptatum. Quidem nostrum dolorum cumque.,2024-09-15,Davi da Conceição,14,Política
Possimus ex voluptate mollitia.,Provident provident sit molestiae eum commodi quos nostrum eum quas sunt hic nemo.,Dolore omnis molestiae nemo ea provident doloremque. Deserunt culpa modi magnam. Dicta nihil cupiditate blanditiis. Explicabo necessitatibus praesentium voluptatem numquam. Neque corrupti facilis occaecati reiciendis iure.,2024-01-30,Srta. Valentina Abreu,16,Ciência
Blanditiis atque aliquam temporibus ex quae ducimus.,Blanditiis mollitia est quos aut repellendus perspiciatis consequatur error eligendi.,Nostrum hic voluptatibus aliquam. Iure nesciunt omnis cupiditate. Doloribus fugit quasi iusto. Consequatur repellat natus ad. Adipisci commodi maxime hic facilis ab. Sint unde officia dolorem fugit laboriosam dicta.,2024-09-18,Breno Borges,18,Entretenimento
Et fugiat ut veniam.,Dolor itaque cum animi aliquam maxime ab.,Occaecati voluptatibus libero molestias tempore et maiores. Dicta laboriosam quam reprehenderit explicabo nulla asperiores error. Eius blanditiis inventore esse atque mollitia quae.,2024-04-13,Maria Luísa da Cunha,10,Esportes
